"","X.1","X","Longitude","Latitude","OBJECTID","HOSPITAL_NAME","HOSPITAL_TYPE","NUM_STAFFED_BEDS","NUM_LICENSED_BEDS","NUM_ICU_BEDS","BED_UTILIZATION","Potential_Increase_In_Bed_Capac","Latitude.1","Longitude.1","Accuracy.Score","Accuracy.Type","Number","Street","City","State","County","Zip","Country","Source","text_tip","AVAIL_BEDS","AVAIL_ICU_BEDS"
"1804",1804,1804,-82.1387233,33.4243373,5804,"Dwight D Eisenhower Army Medical Ctr","Department of Defense Hospital",300,300,NA,NA,0,33.422292,-82.137875,0.96,"nearest_street","29734","Rice Rd","Augusta","GA","Richmond County",30905,"US","TIGER/Line® dataset from the US Census Bureau","<b>Dwight D Eisenhower Army Medical Ctr</b><br>Richmond County<br>Num Beds: 300<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1805",1805,1805,-89.1847,33.3168,5805,"Choctaw Regional Medical Center ","Critical Access Hospital",15,25,NA,0.486575,10,33.317079,-89.184421,0.98,"nearest_street","8401","State Hwy 12","Ackerman","MS","Choctaw County",39735,"US","TIGER/Line® dataset from the US Census Bureau","<b>Choctaw Regional Medical Center </b><br>Choctaw County<br>Num Beds: 15<br>Num ICU Beds: NA<br>Bed Util: 0.49<br>Pot. Bed Increases: 10",8,NA
"1806",1806,1806,-93.2113927,31.0637201,5806,"Bayne-Jones Army Community Hospital","Department of Defense Hospital",22,22,NA,NA,0,31.063717,-93.211484,0.99,"nearest_street","1583","3rd St","Leesville","LA","Vernon Parish",71459,"US","TIGER/Line® dataset from the US Census Bureau","<b>Bayne-Jones Army Community Hospital</b><br>Vernon Parish<br>Num Beds: 22<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1807",1807,1807,-87.4901086,36.6154475,5807,"Blanchfield Army Community Hospital","Department of Defense Hospital",41,41,NA,NA,0,36.615448,-87.490109,0.15,"nearest_place","","","Fort Campbell","KY","",42223,"US","TIGER/Line® dataset from the US Census Bureau","<b>Blanchfield Army Community Hospital</b><br><br>Num Beds: 41<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1808",1808,1808,-84.9335838,32.3773071,5808,"Martin Army Community Hospital","Department of Defense Hospital",250,250,NA,NA,0,32.377813,-84.927464,0.94,"nearest_street","","Lindsey Creek Pkwy","Fort Benning","GA","Chattahoochee County",31905,"US","TIGER/Line® dataset from the US Census Bureau","<b>Martin Army Community Hospital</b><br>Chattahoochee County<br>Num Beds: 250<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1809",1809,1809,-81.5946,31.8743,5809,"Winn Army Community Hospital","Department of Defense Hospital",39,39,NA,NA,0,31.87436,-81.592597,0.97,"nearest_street","1200","Worchester Ave","Fort Stewart","GA","Liberty County",31314,"US","TIGER/Line® dataset from the US Census Bureau","<b>Winn Army Community Hospital</b><br>Liberty County<br>Num Beds: 39<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1810",1810,1810,-78.9932,35.1333,5810,"Womack Army Medical Ctr","Department of Defense Hospital",138,138,NA,NA,0,35.13555,-78.993329,0.96,"nearest_street","","All American Expy","Fort Bragg","NC","Cumberland County",28307,"US","TIGER/Line® dataset from the US Census Bureau","<b>Womack Army Medical Ctr</b><br>Cumberland County<br>Num Beds: 138<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1811",1811,1811,-73.9773423,41.4017759,5811,"Keller Army Community Hospital","Department of Defense Hospital",20,20,NA,NA,0,41.401878,-73.977085,1,"rooftop","900","Washington Rd","West Point","NY","Orange County",10996,"US","Orange","<b>Keller Army Community Hospital</b><br>Orange County<br>Num Beds: 20<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1812",1812,1812,-121.9637813,38.2700215,5812,"60th Medical Group - Travis AFB ","Department of Defense Hospital",298,298,NA,NA,0,38.272256,-121.963253,0.96,"nearest_street","","Air Base Pkwy","Fairfield","CA","Solano County",94533,"US","TIGER/Line® dataset from the US Census Bureau","<b>60th Medical Group - Travis AFB </b><br>Solano County<br>Num Beds: 298<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1813",1813,1813,-86.5433477,30.450546,5813,"96th Medical Group - Eglin AFB","Department of Defense Hospital",53,53,NA,NA,0,30.447837,-86.547733,0.94,"nearest_street","75","Davis Ct","Shalimar","FL","Okaloosa County",32579,"US","TIGER/Line® dataset from the US Census Bureau","<b>96th Medical Group - Eglin AFB</b><br>Okaloosa County<br>Num Beds: 53<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1814",1814,1814,-149.8112528,61.2536352,5814,"673d Medical Group - Joint Base Elmendorf-Richardson","Department of Defense Hospital",55,55,NA,NA,0,61.256743,-149.807091,0.95,"nearest_street","15500","29th St","Elmendorf Afb","AK","Anchorage Municipality",99506,"US","TIGER/Line® dataset from the US Census Bureau","<b>673d Medical Group - Joint Base Elmendorf-Richardson</b><br>Anchorage Municipality<br>Num Beds: 55<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1815",1815,1815,-88.9198322,30.4111518,5815,"81st Medical Group - Keesler AFB","Department of Defense Hospital",60,60,NA,NA,0,30.414512,-88.915072,0.94,"nearest_street","100","Minden Rd","Biloxi","MS","Harrison County",39530,"US","TIGER/Line® dataset from the US Census Bureau","<b>81st Medical Group - Keesler AFB</b><br>Harrison County<br>Num Beds: 60<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1816",1816,1816,-115.0493095,36.246084,5816,"99th Medical Group - Mike OCallaghan Military Medical Ctr","Department of Defense Hospital",114,114,NA,NA,0,36.246984,-115.050847,0.97,"nearest_street","81","Stafford Dr","Las Vegas","NV","Clark County",89115,"US","TIGER/Line® dataset from the US Census Bureau","<b>99th Medical Group - Mike OCallaghan Military Medical Ctr</b><br>Clark County<br>Num Beds: 114<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1817",1817,1817,-84.0371413,39.8052709,5817,"88th Medical Group - Wright-Patterson Medical Ctr","Department of Defense Hospital",57,57,NA,NA,0,39.804367,-84.036286,0.98,"rooftop","4881","Sugar Maple Dr","Dayton","OH","Greene County",45433,"US","Greene","<b>88th Medical Group - Wright-Patterson Medical Ctr</b><br>Greene County<br>Num Beds: 57<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1818",1818,1818,-111.4858461,33.0733872,5818,"Florence Hospital ","Short Term Acute Care Hospital",36,36,2,0.1707,0,33.073266,-111.485632,1,"rooftop","4545","N Hunt Hwy","Florence","AZ","Pinal County",85232,"US","Pinal","<b>Florence Hospital </b><br>Pinal County<br>Num Beds: 36<br>Num ICU Beds: 2<br>Bed Util: 0.17<br>Pot. Bed Increases: 0",30,2
"1819",1819,1819,-81.0952166,32.0286346,5819,"Landmark Hospital of Savannah","Long Term Acute Care Hospital",25,25,NA,0.785753,0,32.028797,-81.09554,1,"rooftop","5102","Paulsen St","Savannah","GA","Chatham County",31405,"US","City of Savannah","<b>Landmark Hospital of Savannah</b><br>Chatham County<br>Num Beds: 25<br>Num ICU Beds: NA<br>Bed Util: 0.79<br>Pot. Bed Increases: 0",5,NA
"1820",1820,1820,-90.4129599,30.4770546,5820,"Cypress Pointe Hospital","Short Term Acute Care Hospital",30,30,NA,0.087763,0,30.476984,-90.412976,1,"rooftop","42570","S Airport Rd","Hammond","LA","Tangipahoa Parish",70403,"US","Tangipahoa","<b>Cypress Pointe Hospital</b><br>Tangipahoa Parish<br>Num Beds: 30<br>Num ICU Beds: NA<br>Bed Util: 0.09<br>Pot. Bed Increases: 0",27,NA
"1821",1821,1821,-97.4182024,32.6541764,5821,"Baylor Scott & White Institute for Rehabilitation - Fort Worth ","Rehabilitation Hospital",42,42,NA,0.474625,0,32.654085,-97.418273,1,"rooftop","6601","Harris Pkwy","Fort Worth","TX","Tarrant County",76132,"US","Tarrant County","<b>Baylor Scott & White Institute for Rehabilitation - Fort Worth </b><br>Tarrant County<br>Num Beds: 42<br>Num ICU Beds: NA<br>Bed Util: 0.47<br>Pot. Bed Increases: 0",22,NA
"1822",1822,1822,-98.4924357,29.6282341,5822,"Select Rehabilitation Hospital of San Antonio ","Rehabilitation Hospital",42,42,NA,0.658839,0,29.628222,-98.492441,1,"rooftop","19126","Stonehue","San Antonio","TX","Bexar County",78258,"US","Bexar","<b>Select Rehabilitation Hospital of San Antonio </b><br>Bexar County<br>Num Beds: 42<br>Num ICU Beds: NA<br>Bed Util: 0.66<br>Pot. Bed Increases: 0",14,NA
"1823",1823,1823,-86.2643,31.6942,5823,"Beacon Behavioral Hospital ","Psychiatric Hospital",28,28,NA,NA,0,31.691971,-86.266263,0.96,"nearest_street","34","Meadow Crest Dr","Luverne","AL","Crenshaw County",36049,"US","TIGER/Line® dataset from the US Census Bureau","<b>Beacon Behavioral Hospital </b><br>Crenshaw County<br>Num Beds: 28<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1824",1824,1824,-112.3262794,34.5910987,5824,"Windhaven Psychiatric Hospital","Psychiatric Hospital",16,16,NA,0.843493,0,34.591127,-112.326282,1,"rooftop","3347","N Windsong Dr","Prescott Valley","AZ","Yavapai County",86314,"US","Yavapai","<b>Windhaven Psychiatric Hospital</b><br>Yavapai County<br>Num Beds: 16<br>Num ICU Beds: NA<br>Bed Util: 0.84<br>Pot. Bed Increases: 0",3,NA
"1825",1825,1825,-94.294759,36.106047,5825,"Springwoods Behavioral Health","Psychiatric Hospital",80,80,NA,0.502329,0,36.107662,-94.293217,0.96,"nearest_street","16809","Harmon Rd","Fayetteville","AR","Washington County",72704,"US","TIGER/Line® dataset from the US Census Bureau","<b>Springwoods Behavioral Health</b><br>Washington County<br>Num Beds: 80<br>Num ICU Beds: NA<br>Bed Util: 0.5<br>Pot. Bed Increases: 0",40,NA
"1826",1826,1826,-94.0354205,33.4609338,5826,"Riverview Behavioral Health ","Psychiatric Hospital",50,62,NA,0.618192,12,33.460601,-94.035457,1,"rooftop","701","Arkansas Blvd","Texarkana","AR","Miller County",71854,"US","Arkansas Geographic Information Office","<b>Riverview Behavioral Health </b><br>Miller County<br>Num Beds: 50<br>Num ICU Beds: NA<br>Bed Util: 0.62<br>Pot. Bed Increases: 12",19,NA
"1827",1827,1827,-80.312988,26.072214,5827,"Daystar ","Religious Non-Medical Health Care Institution",3,3,NA,0.837443,0,26.072315,-80.312995,1,"rooftop","3800","S Flamingo Rd","Fort Lauderdale","FL","Broward County",33330,"US","Broward","<b>Daystar </b><br>Broward County<br>Num Beds: 3<br>Num ICU Beds: NA<br>Bed Util: 0.84<br>Pot. Bed Increases: 0",0,NA
"1828",1828,1828,-82.4901676,28.2953065,5828,"AdventHealth Connerton ","Long Term Acute Care Hospital",50,50,4,0.975123,0,28.295291,-82.48999,1,"rooftop","9441","Health Center Dr","Land O Lakes","FL","Pasco County",34637,"US","Statewide2","<b>AdventHealth Connerton </b><br>Pasco County<br>Num Beds: 50<br>Num ICU Beds: 4<br>Bed Util: 0.98<br>Pot. Bed Increases: 0",1,0
"1829",1829,1829,-71.073269,42.7785134,5829,"Haverhill Pavilion Behavioral Health Hospital ","Psychiatric Hospital",71,10,NA,0.756862,-61,42.778598,-71.073212,1,"rooftop","76","Summer St","Haverhill","MA","Essex County",1830,"US","Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","<b>Haverhill Pavilion Behavioral Health Hospital </b><br>Essex County<br>Num Beds: 71<br>Num ICU Beds: NA<br>Bed Util: 0.76<br>Pot. Bed Increases: -61",17,NA
"1830",1830,1830,-95.5798611,29.7324501,5830,"Nexus Childrens Hospital - Houston ","Childrens Hospital",40,40,NA,0.415274,0,29.732377,-95.579781,1,"rooftop","2929","Woodland Park Dr","Houston","TX","Harris County",77082,"US","Greater Houston","<b>Nexus Childrens Hospital - Houston </b><br>Harris County<br>Num Beds: 40<br>Num ICU Beds: NA<br>Bed Util: 0.42<br>Pot. Bed Increases: 0",23,NA
"1831",1831,1831,-95.458533,30.1899603,5831,"Encompass Health Rehabilitation Hospital Vision Park ","Rehabilitation Hospital",60,60,NA,0.761461,0,30.190217,-95.458398,1,"rooftop","117","Vision Park Blvd","Conroe","TX","Montgomery County",77384,"US","Montgomery","<b>Encompass Health Rehabilitation Hospital Vision Park </b><br>Montgomery County<br>Num Beds: 60<br>Num ICU Beds: NA<br>Bed Util: 0.76<br>Pot. Bed Increases: 0",14,NA
"1832",1832,1832,-96.7704903,32.9010971,5832,"Encompass Health Rehabilitation Hospital of Dallas ","Rehabilitation Hospital",40,40,NA,0.83589,0,32.90111,-96.770535,1,"rooftop","7930","Northaven Rd","Dallas","TX","Dallas County",75230,"US","Dallas","<b>Encompass Health Rehabilitation Hospital of Dallas </b><br>Dallas County<br>Num Beds: 40<br>Num ICU Beds: NA<br>Bed Util: 0.84<br>Pot. Bed Increases: 0",7,NA
"1833",1833,1833,-97.1131424,32.8451239,5833,"Encompass Health Rehabilitation Hospital of the Mid-Cities ","Rehabilitation Hospital",60,60,NA,0.727078,0,32.84543,-97.113269,1,"rooftop","2304","Hwy 121","Bedford","TX","Tarrant County",76021,"US","Tarrant County","<b>Encompass Health Rehabilitation Hospital of the Mid-Cities </b><br>Tarrant County<br>Num Beds: 60<br>Num ICU Beds: NA<br>Bed Util: 0.73<br>Pot. Bed Increases: 0",16,NA
"1834",1834,1834,-97.7662514,30.2258631,5834,"Encompass Health Rehabilitation Hospital of Austin ","Rehabilitation Hospital",60,60,NA,0.785114,0,30.225722,-97.766414,1,"rooftop","330","W Ben White Blvd Svrd Wb","Austin","TX","Travis County",78704,"US","Travis","<b>Encompass Health Rehabilitation Hospital of Austin </b><br>Travis County<br>Num Beds: 60<br>Num ICU Beds: NA<br>Bed Util: 0.79<br>Pot. Bed Increases: 0",13,NA
"1835",1835,1835,-95.5711438,29.9901193,5835,"Encompass Health Rehabilitation Hospital the Vintage ","Rehabilitation Hospital",60,60,NA,0.629417,0,29.990079,-95.570976,1,"rooftop","22506","Arborgate Dr","Spring","TX","Harris County",77373,"US","Harris","<b>Encompass Health Rehabilitation Hospital the Vintage </b><br>Harris County<br>Num Beds: 60<br>Num ICU Beds: NA<br>Bed Util: 0.63<br>Pot. Bed Increases: 0",22,NA
"1836",1836,1836,-87.3877125,39.3764121,5836,"Harsha Behavioral Ctr","Psychiatric Hospital",81,81,NA,0.608625,0,39.37628,-87.388333,0.99,"rooftop","1882","E Woodsmall Dr","Terre Haute","IN","Vigo County",47802,"US","Statewide","<b>Harsha Behavioral Ctr</b><br>Vigo County<br>Num Beds: 81<br>Num ICU Beds: NA<br>Bed Util: 0.61<br>Pot. Bed Increases: 0",32,NA
"1837",1837,1837,-87.3314472,37.9929913,5837,"Brentwood Springs Hospital ","Psychiatric Hospital",48,48,NA,0.614726,0,37.993118,-87.331453,1,"rooftop","4592","S Roslin Rd","Boonville","IN","Warrick County",47601,"US","Statewide","<b>Brentwood Springs Hospital </b><br>Warrick County<br>Num Beds: 48<br>Num ICU Beds: NA<br>Bed Util: 0.61<br>Pot. Bed Increases: 0",18,NA
"1838",1838,1838,-94.7689704,38.924417,5838,"MISH Hospital and Clinics ","Short Term Acute Care Hospital",9,9,NA,0.045053,0,38.924355,-94.769099,1,"rooftop","11217","Lakeview Ave","Shawnee Mission","KS","Johnson County",66219,"US","City of Lenexa","<b>MISH Hospital and Clinics </b><br>Johnson County<br>Num Beds: 9<br>Num ICU Beds: NA<br>Bed Util: 0.05<br>Pot. Bed Increases: 0",9,NA
"1839",1839,1839,-93.669771,32.4608316,5839,"Pathway Rehab Hospital of Bossier","Rehabilitation Hospital",24,24,NA,0.572489,0,32.460818,-93.6694,1,"rooftop","4900","Medical Dr","Bossier City","LA","Bossier Parish",71112,"US","City of Bossier","<b>Pathway Rehab Hospital of Bossier</b><br>Bossier Parish<br>Num Beds: 24<br>Num ICU Beds: NA<br>Bed Util: 0.57<br>Pot. Bed Increases: 0",10,NA
"1840",1840,1840,-92.4798511,31.3236612,5840,"Oceans Behavioral Hospital Alexandria","Psychiatric Hospital",24,24,NA,0.789726,0,31.32462,-92.478495,0.98,"rooftop","2500","N Bolton Ave","Alexandria","LA","Rapides Parish",71301,"US","Rapides","<b>Oceans Behavioral Hospital Alexandria</b><br>Rapides Parish<br>Num Beds: 24<br>Num ICU Beds: NA<br>Bed Util: 0.79<br>Pot. Bed Increases: 0",5,NA
"1841",1841,1841,-92.3443817,30.2316449,5841,"Oceans Behavioral Hospital Crowley ","Psychiatric Hospital",16,16,NA,0.636574,0,30.230798,-92.345271,1,"nearest_street","1116","US Hwy 90","Crowley","LA","Acadia Parish",70526,"US","TIGER/Line® dataset from the US Census Bureau","<b>Oceans Behavioral Hospital Crowley </b><br>Acadia Parish<br>Num Beds: 16<br>Num ICU Beds: NA<br>Bed Util: 0.64<br>Pot. Bed Increases: 0",6,NA
"1842",1842,1842,-90.2583368,30.0231144,5842,"Oceans Behavioral Hospital Greater New Orleans - Kenner","Psychiatric Hospital",46,30,NA,0.931109,-16,30.023471,-90.258218,0.99,"rooftop","716","Village Rd","Kenner","LA","Jefferson Parish",70065,"US","Jefferson Parish","<b>Oceans Behavioral Hospital Greater New Orleans - Kenner</b><br>Jefferson Parish<br>Num Beds: 46<br>Num ICU Beds: NA<br>Bed Util: 0.93<br>Pot. Bed Increases: -16",3,NA
"1843",1843,1843,-82.9819922,42.3903168,5843,"The Samaritan Ctr","Psychiatric Hospital",55,55,NA,0.9066,0,42.390255,-82.982082,1,"rooftop","5555","Conner","Detroit","MI","Wayne County",48213,"US","Semcog","<b>The Samaritan Ctr</b><br>Wayne County<br>Num Beds: 55<br>Num ICU Beds: NA<br>Bed Util: 0.91<br>Pot. Bed Increases: 0",5,NA
"1844",1844,1844,-96.0213285,41.32182,5844,"Nebraska Spine Hospital","Short Term Acute Care Hospital",34,34,NA,0.188396,0,41.321517,-96.020073,0.99,"rooftop","6901","N 72nd St","Omaha","NE","Douglas County",68152,"US","Douglas","<b>Nebraska Spine Hospital</b><br>Douglas County<br>Num Beds: 34<br>Num ICU Beds: NA<br>Bed Util: 0.19<br>Pot. Bed Increases: 0",28,NA
"1845",1845,1845,-94.8832,36.8724,5845,"Willow Crest Hospital","Psychiatric Hospital",50,50,NA,NA,0,36.873429,-94.883039,0.97,"nearest_street","98","E St SW","Miami","OK","Ottawa County",74354,"US","TIGER/Line® dataset from the US Census Bureau","<b>Willow Crest Hospital</b><br>Ottawa County<br>Num Beds: 50<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1846",1846,1846,-87.273142,36.576039,5846,"Unity Psychiatric Care - Clarksville ","Psychiatric Hospital",26,26,NA,0.473867,0,36.576056,-87.272463,0.98,"nearest_street","917","Professional Park Dr","Clarksville","TN","Montgomery County",37043,"US","TIGER/Line® dataset from the US Census Bureau","<b>Unity Psychiatric Care - Clarksville </b><br>Montgomery County<br>Num Beds: 26<br>Num ICU Beds: NA<br>Bed Util: 0.47<br>Pot. Bed Increases: 0",14,NA
"1847",1847,1847,-95.480264,30.2845547,5847,"Aspire Behavioral Health of Conroe ","Short Term Acute Care Hospital",6,30,NA,0.088584,24,30.284555,-95.480264,1,"rooftop","2006","S Loop 336 W","Conroe","TX","Montgomery County",77304,"US","Montgomery","<b>Aspire Behavioral Health of Conroe </b><br>Montgomery County<br>Num Beds: 6<br>Num ICU Beds: NA<br>Bed Util: 0.09<br>Pot. Bed Increases: 24",5,NA
"1848",1848,1848,-88.2870937,43.0260693,5848,"ProHealth Rehabilitation Hospital of Wisconsin","Rehabilitation Hospital",40,40,NA,0.823767,0,43.02604,-88.287158,1,"rooftop","1625","Coldwater Creek Dr","Waukesha","WI","Waukesha County",53188,"US","Statewide","<b>ProHealth Rehabilitation Hospital of Wisconsin</b><br>Waukesha County<br>Num Beds: 40<br>Num ICU Beds: NA<br>Bed Util: 0.82<br>Pot. Bed Increases: 0",7,NA
"1849",1849,1849,-97.1168429,32.6829476,5849,"Baylor Scott & White Orthopedic and Spine Hospital - Arlington","Short Term Acute Care Hospital",24,20,NA,0.444635,-4,32.683056,-97.116955,1,"rooftop","721","Highlander Blvd","Arlington","TX","Tarrant County",76015,"US","Tarrant County","<b>Baylor Scott & White Orthopedic and Spine Hospital - Arlington</b><br>Tarrant County<br>Num Beds: 24<br>Num ICU Beds: NA<br>Bed Util: 0.44<br>Pot. Bed Increases: -4",13,NA
"1850",1850,1850,-91.1478598,30.4477969,5850,"Baton Rouge Behavioral Hospital ","Psychiatric Hospital",47,47,NA,0.850539,0,30.447643,-91.148141,1,"rooftop","151","Richland Ave","Baton Rouge","LA","East Baton Rouge Parish",70806,"US","East Baton Rouge Parish","<b>Baton Rouge Behavioral Hospital </b><br>East Baton Rouge Parish<br>Num Beds: 47<br>Num ICU Beds: NA<br>Bed Util: 0.85<br>Pot. Bed Increases: 0",7,NA
"1851",1851,1851,-89.9947239,29.9100887,5851,"Seaside Behavioral Center - New Orleans","Psychiatric Hospital",47,47,NA,0.864821,0,29.909783,-89.994794,1,"rooftop","5800","General De Gaulle Dr","New Orleans","LA","Orleans Parish",70131,"US","Orleans Parish","<b>Seaside Behavioral Center - New Orleans</b><br>Orleans Parish<br>Num Beds: 47<br>Num ICU Beds: NA<br>Bed Util: 0.86<br>Pot. Bed Increases: 0",6,NA
"1852",1852,1852,-75.3021571,43.1672712,5852,"Central New York Psychiatric Ctr","Psychiatric Hospital",220,220,NA,NA,0,43.164719,-75.30111,0.96,"nearest_street","77","Bigelow Dr","Marcy","NY","Oneida County",13403,"US","TIGER/Line® dataset from the US Census Bureau","<b>Central New York Psychiatric Ctr</b><br>Oneida County<br>Num Beds: 220<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1853",1853,1853,-73.7259795,40.7453715,5853,"New York City Childrens Center - Queens Campus ","Psychiatric Hospital",65,65,NA,NA,0,40.745833,-73.726484,0.99,"rooftop","74-3","Commonwealth Blvd","Bellerose Terrace","NY","Queens County",11426,"US","City of New York","<b>New York City Childrens Center - Queens Campus </b><br>Queens County<br>Num Beds: 65<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1854",1854,1854,-78.5495103,38.051479,5854,"UVA Transitional Care Hospital","Long Term Acute Care Hospital",40,40,NA,0.630959,0,38.051485,-78.549764,1,"rooftop","2965","Ivy Rd","Charlottesville","VA","Albemarle County",22903,"US","Virginia Geographic Information Network (VGIN)","<b>UVA Transitional Care Hospital</b><br>Albemarle County<br>Num Beds: 40<br>Num ICU Beds: NA<br>Bed Util: 0.63<br>Pot. Bed Increases: 0",15,NA
"1855",1855,1855,-86.8461115,34.1509873,5855,"The Sanctuary at the Woodlands","Psychiatric Hospital",40,40,NA,0.472329,0,34.151254,-86.84733,0.99,"rooftop","920","Olive St","Cullman","AL","Cullman County",35056,"US","Cullman","<b>The Sanctuary at the Woodlands</b><br>Cullman County<br>Num Beds: 40<br>Num ICU Beds: NA<br>Bed Util: 0.47<br>Pot. Bed Increases: 0",21,NA
"1856",1856,1856,-91.0506831,33.4036127,5856,"Allegiance Specialty Hospital of Greenville","Long Term Acute Care Hospital",39,39,NA,0.559677,0,33.405839,-91.047946,0.95,"nearest_street","304","Orlando St","Greenville","MS","Washington County",38701,"US","TIGER/Line® dataset from the US Census Bureau","<b>Allegiance Specialty Hospital of Greenville</b><br>Washington County<br>Num Beds: 39<br>Num ICU Beds: NA<br>Bed Util: 0.56<br>Pot. Bed Increases: 0",17,NA
"1857",1857,1857,-84.2951171,39.3312446,5857,"Lindner Center of HOPE","Psychiatric Hospital",32,32,NA,0.742808,0,39.331028,-84.295635,0.99,"rooftop","4075","Old Western Row Rd","Mason","OH","Warren County",45040,"US","Hamilton","<b>Lindner Center of HOPE</b><br>Warren County<br>Num Beds: 32<br>Num ICU Beds: NA<br>Bed Util: 0.74<br>Pot. Bed Increases: 0",8,NA
"1858",1858,1858,-96.8403762,33.1029444,5858,"Baylor Scott & White Institute for Rehabilitation - Frisco","Rehabilitation Hospital",44,44,NA,0.679701,0,33.103066,-96.840439,1,"rooftop","2990","Legacy Dr","Frisco","TX","Collin County",75034,"US","Plano","<b>Baylor Scott & White Institute for Rehabilitation - Frisco</b><br>Collin County<br>Num Beds: 44<br>Num ICU Beds: NA<br>Bed Util: 0.68<br>Pot. Bed Increases: 0",14,NA
"1859",1859,1859,-118.2451528,33.9239277,5859,"Martin Luther King Jr Community Hospital","Short Term Acute Care Hospital",131,131,20,0.724438,0,33.92389,-118.244915,1,"rooftop","1670 U","E 120th St","Los Angeles","CA","Los Angeles County",90059,"US","Los Angeles County","<b>Martin Luther King Jr Community Hospital</b><br>Los Angeles County<br>Num Beds: 131<br>Num ICU Beds: 20<br>Bed Util: 0.72<br>Pot. Bed Increases: 0",36,6
"1860",1860,1860,-78.9421711,36.0099282,5860,"Veritas Collaborative - Adult Hospital Durham","Short Term Acute Care Hospital",50,50,NA,NA,0,36.009918,-78.942224,1,"rooftop","600","Douglas St","Durham","NC","Durham County",27705,"US","Durham","<b>Veritas Collaborative - Adult Hospital Durham</b><br>Durham County<br>Num Beds: 50<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1861",1861,1861,-77.1433055,38.7054479,5861,"Fort Belvoir Community Hospital","Department of Defense Hospital",120,120,NA,NA,0,38.705635,-77.146163,0.96,"nearest_street","6000","5th St","Fort Belvoir","VA","Fairfax County",22060,"US","TIGER/Line® dataset from the US Census Bureau","<b>Fort Belvoir Community Hospital</b><br>Fairfax County<br>Num Beds: 120<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1862",1862,1862,-121.2506572,38.7474074,5862,"Kaiser Permanente Roseville Medical Ctr","Short Term Acute Care Hospital",340,340,30,0.674005,0,38.746818,-121.250533,0.99,"rooftop","1600","Eureka Rd","Roseville","CA","Placer County",95661,"US","City of Roseville","<b>Kaiser Permanente Roseville Medical Ctr</b><br>Placer County<br>Num Beds: 340<br>Num ICU Beds: 30<br>Bed Util: 0.67<br>Pot. Bed Increases: 0",111,10
"1863",1863,1863,-96.772903,32.793339,5863,"Baylor T Boone Pickens Cancer Hospital","Short Term Acute Care Hospital",96,96,NA,NA,0,32.793176,-96.773203,1,"rooftop","517","N Peak St","Dallas","TX","Dallas County",75246,"US","Dallas","<b>Baylor T Boone Pickens Cancer Hospital</b><br>Dallas County<br>Num Beds: 96<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"1864",1864,1864,-96.6824261,33.2211103,5864,"Baylor Scott & White Medical Center - McKinney","Short Term Acute Care Hospital",143,143,16,0.622014,0,33.221085,-96.682581,1,"rooftop","5252","W University Dr","Mc Kinney","TX","Collin County",75071,"US","Statewide Partial","<b>Baylor Scott & White Medical Center - McKinney</b><br>Collin County<br>Num Beds: 143<br>Num ICU Beds: 16<br>Bed Util: 0.62<br>Pot. Bed Increases: 0",54,6
